PROCDATE  JOB       FILTER  OBSID   SCANUM  FIELD     MJD      
20250927  jid37432  R062    1937    2        5364186  62025.059
20250927  jid37585  R062    1946    13       5356473  62025.088
20250927  jid37594  R062    1946    3        5356479  62025.088
20250927  jid37770  R062    1956    18       5325281  62025.120
20250927  jid37790  R062    1957    1        5321341  62025.123
20250927  jid37798  R062    1957    9        5325281  62025.123
20250927  jid37857  R062    1961    13       5325283  62025.136
20250927  jid37907  R062    1964    10       5261331  62025.144
20250927  jid51977  R062    2322    11       5364186  62030.059
20250927  jid52182  R062    2333    9        5333116  62030.094
20250927  jid52260  R062    2337    12       5321341  62030.107
20250927  jid52322  R062    2341    14       5325283  62030.120
20250927  jid52457  R062    2348    4        5297552  62030.142
20250927  jid59001  R062    2712    3        5356473  62035.075
20250927  jid59071  R062    2716    1        5356479  62035.088
20250927  jid59086  R062    2717    16       5333116  62035.091
20250927  jid59095  R062    2717    8        5356473  62035.091
20250927  jid59241  R062    2726    10       5325283  62035.120
20250927  jid59374  R062    2733    5        5297552  62035.142
20250927  jid79165  R062    3898    18       5261333  62050.174
20250927  jid79168  R062    3507    7        5297554  62045.155
20250927  jid79171  R062    3117    11       5297558  62040.139
20250927  jid79173  R062    3096    16       5352605  62040.072
20250927  jid79386  R062    3513    13       5261331  62045.174
20250927  jid79388  R062    3898    17       5261331  62050.174
20250927  jid79389  R062    7725    8        5261331  62100.102
20250927  jid79390  R062    4672    10       5261331  62060.187
20250927  jid79391  R062    5826    14       5261331  62075.185
20250927  jid79392  R062    8490    4        5261331  62110.086
20250927  jid79393  R062    8105    9        5261331  62105.086
20250927  jid79394  R062    8870    2        5261331  62115.070
20250927  jid79395  R062    9630    18       5261331  62125.037
20250927  jid79396  R062    11167   15       5261331  62145.027
20250927  jid79397  R062    11937   4        5261331  62155.027
20250927  jid79398  R062    12323   13       5261331  62160.029
20250927  jid79399  R062    12328   15       5261331  62160.045
20250927  jid79400  R062    13098   6        5261331  62170.045
20250927  jid79401  R062    13869   7        5261331  62180.048
20250927  jid79402  R062    13874   1        5261331  62180.064
20250927  jid79403  R062    14659   17       5261331  62190.112
20250927  jid79404  R062    15819   15       5261331  62205.128
20250927  jid79405  R062    20071   17       5261331  62260.185
20250927  jid79406  R062    21210   1        5261331  62275.134
20250927  jid79407  R062    21215   13       5261331  62275.150
20250927  jid79408  R062    22730   6        5261331  62295.070
20250927  jid79409  R062    24261   3        5261331  62315.040
20250927  jid79410  R062    25797   1        5261331  62335.027
20250927  jid79411  R062    27349   16       5261331  62355.064
20250927  jid79412  R062    27739   17       5261331  62360.080
20250927  jid79413  R062    28119   5        5261331  62365.064
20250927  jid79414  R062    28124   11       5261331  62365.080
20250927  jid79415  R062    28129   17       5261331  62365.096
20250927  jid79416  R062    28509   3        5261331  62370.080
20250927  jid79417  R062    28514   14       5261331  62370.096
20250927  jid79418  R062    28899   12       5261331  62375.096
20250927  jid79419  R062    29289   15       5261331  62380.112
20250927  jid79420  R062    29679   14       5261331  62385.128
20250927  jid79421  R062    30069   10       5261331  62390.144
20250927  jid79525  R062    4672    11       5261333  62060.187
20250927  jid79526  R062    5057    18       5261333  62065.187
20250927  jid79527  R062    5441    3        5261333  62070.185
20250927  jid79528  R062    7725    4        5261333  62100.102
20250927  jid79529  R062    8105    5        5261333  62105.086
20250927  jid79530  R062    9250    14       5261333  62120.053
20250927  jid79531  R062    9630    17       5261333  62125.037
20250927  jid79532  R062    11937   7        5261333  62155.027
20250927  jid79533  R062    11167   14       5261333  62145.027
20250927  jid79534  R062    12328   11       5261333  62160.045
20250927  jid79535  R062    13098   9        5261333  62170.045
20250927  jid79536  R062    13104   16       5261333  62170.064
20250927  jid79537  R062    13874   4        5261333  62180.064
20250927  jid79538  R062    13879   10       5261333  62180.080
20250927  jid79539  R062    13884   17       5261333  62180.096
20250927  jid79540  R062    15824   10       5261333  62205.144
20250927  jid79541  R062    20445   6        5261333  62265.150
20250927  jid79542  R062    21205   4        5261333  62275.118
20250927  jid79543  R062    21210   10       5261333  62275.134
20250927  jid79544  R062    21215   16       5261333  62275.150
20250927  jid79545  R062    22730   2        5261333  62295.070
20250927  jid79546  R062    23495   13       5261333  62305.053
20250927  jid79547  R062    25027   15       5261333  62325.027
20250927  jid79548  R062    25412   10       5261333  62330.027
